GeneSymbol,mean_expr,lm22_cell_types
QPCT,3402.2074717506257,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
BHLHE41,28.2011040343492,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
FOSB,26.856897767260712,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
PTPRG,26.82728191558351,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
FAM212B,26.71847150309562,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
LTB,22.768646678208594,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
TXK,22.640966789194955,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
MS4A6A,21.83080690485924,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
LIME1,21.56555211630589,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
HTR2B,20.975609566564096,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
HPSE,20.70096174049102,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
KLRB1,20.106192490325057,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
AIM2,18.889165596053903,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CDA,17.596954546987693,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
TSHR,17.25334432675603,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CD1D,16.7118836409813,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
SIGLEC1,15.65642474296876,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
PAX7,14.67433756651598,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
SLC12A8,14.51832112762971,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
NPAS1,14.474913772082663,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
SLCO5A1,13.717295179906097,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CXCL3,13.477634680141998,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
VNN1,13.099941425962635,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
TMEM156,13.064953854473913,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
PLEKHF1,12.873893667341623,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CXCL10,12.77602166039508,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
FCER2,11.969004428617021,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
DHX58,11.804769872812173,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
HCK,11.59447811359688,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CCL22,11.565444701115235,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
HHEX,11.398428893997487,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
FAM65B,11.211382833951554,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
LHCGR,11.171258671621361,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
ZFP36L2,10.973683117778886,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
KIAA0226L,10.844661192825942,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CD40,10.517088232407131,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
APOL6,10.510509217809567,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
HOXA1,10.431380734812295,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
PTPRCAP,10.33206768002424,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CHI3L2,9.881668252129867,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CD1B,9.785590731700433,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
TMEM255A,9.651397309177765,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
GZMM,9.398897440291156,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
FRMD4A,9.317526494286954,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
HK3,9.045150160967845,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
IL18R1,8.808774427563872,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
KLRG1,8.578998353061957,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
ABCB4,8.453619058569911,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
P2RY10,8.357118754290756,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
NTN3,8.158533624952877,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
TNFRSF10C,7.709741394381601,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
NPL,7.304229638033366,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
IL1B,7.149302415333553,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
ANGPT4,7.129264120235195,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
NLRP3,6.540828005214661,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
ZNF204P,6.2484431638151925,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
FRK,6.119454898820992,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
TEC,6.078508712633392,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
BCL11B,6.018230585266541,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
MNDA,5.922455589277788,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
ALOX15,5.913254078440853,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CCR5,5.799747894621443,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
ZNF442,5.792711101861104,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
GPR1,5.775375057551256,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
BFSP1,5.55125782037795,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
PLCH2,5.518573372859688,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
DAPK2,5.3769010356782525,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
MAP4K2,5.362230265403614,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
EGR2,5.162677125995805,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
TRIB2,5.063005944604747,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
