gene	CZJE_PBMC	G4YW_CD8_TE	G4YW_MAIT	G4YW_VD2+	G4YW_VD2-	G4YW_TFH	G4YW_Treg	G4YW_Th1	G4YW_Th1/Th17	G4YW_Th17	G4YW_Th2	G4YW_CD4_naive	G4YW_Progenitor	G4YW_B_naive	G4YW_B_NSM	G4YW_B_Ex	G4YW_B_SM	G4YW_Plasmablasts	G4YW_C_mono	G4YW_I_mono	G4YW_NC_mono	G4YW_NK	G4YW_pDC	G4YW_mDC	G4YW_Neutrophils	G4YW_Basophils	DZQV_PBMC	925L_PBMC	9JD4_PBMC	G4YW_PBMC	4DUY_PBMC	36TS_PBMC	CR3L_PBMC
ANKRD19P	6.357254523	6.549089	3.406968	6.107731	7.437261	6.364913	7.87701612	5.176987	2.559748	1.71681689	2.023608	12.43663	17.373865	44.3084	19.590946	14.463344	6.952236	2.311574	24.330633	27.756202	29.29939905	7.580459	145.41842	37.17978	3.555724	4.361935	10.979559	12.09240256	15.02624	15.977983	14.335289	13.07991	6.687623
CSNK1G2-AS1	1.84769	0.959812	1.12826	0.578492	0.674698	1.56667	1.09611	1.429508	1.71462	0.43279	1.45929	2.71911	4.31499	5.33325	1.53	0.873241	1.20161	0.3617445	1.94631	3.1306	3.40207	0.919119882	5.26627	3.25389	0.373138	2.89368	2.55721	1.29899	1.40117	1.66793	1.97839	1.05036	4.36752
TMPRSS9	0	0.8766074	1.1576415	2.350773933	0	1.68742715	0.2409622	1.11599028	1.7160166	1.1041333	0.3107638	0.8385896	0.592949	1.598192	0.815373489	0.209331	0	0.129668	0	0	0	0	12.253168	0	0	0	0.0195747	0.6009332	0.45064657	1.1722475	0.8260509	0.0800999	0.9097583
PARP11	0.122768	0	0.37082	0.203916	0	0.223057	0	0	0	0.390148	0	0	0	0.170946	0.185134	0	0.188112	0	0	0.185767	0	0.158303	0.481306	0	0	0	0.130358	0	0.128455	0	0.179369	0	0
IFT52	0.57291	2.25824	0	2.649989	3.91328	0	2.2675527	2.395993843	0.670117	0.439457	5.854348	2.71039	5.2033746	2.622431	2.3116231	2.424918	1.299738	2.755971	0.784863	0.866419	0	2.608697	3.517877482	0	0.80219	2.66171	2.458092	1.680294	1.36071	1.96692	7.469867	4.0832221	1.44098
PPHLN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIGYF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106479	0	0	0	0	0	0	0	0	0	0	0	0	0
POU3F2	0	0.462707	0	0	0	0.509807	0	0	0	0	0	0	0	0	0	0	0	0	0	0.420914	0.422207	0	0	0.38418	0	0	0	0	0	0	0	0	0
AATF	0.356085	0	0.240785	0.224747	0	0	0.404915	0.293636	0.243642	0.36314	0.272753	0	0	0.376474	0	0.18385	0.755429	0	0.166962	1.86196	0.146483	0.52326	0.861864	0.348706	0	0	0	0.164726	0.22192	0	0	0	0
RBBP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0979715	0	0	0.0761705	0	0	0	0	0	0
LINC00565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC24	0.2017856	0.102414	0.138099	0.0603583	0.0898133	0.167176	0.122475	0.224105	0.119483	0.256708	0.0938334	0.124726	0.0555408	2.684389	0.0946558	0.0953523	0.0952179	0.0396072	0.0369566	0.0134011	0.0802303	0.159736	0.105515	0.0364995	0.0564635	0.0768725	0.0679052	0.0741461	0.0281486	0.0399005	0.0270002	0.039205	0.111113
PAPPA-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27115	0	0	0	0	0	0	0	0	0	0	0	0	0.636242	0	0	0	0	0	0
DACH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSBP1L1	0.166255	0	0.471137	0	0.706413	0	0	0.201763	0	0.226558	0.534654	0.316402	0	1.05643	0	0	0	0.224747	0.226459	0	0.514673	0.49132	0.44486	0	0.823533	1.01293	0.978313	1.0068	0	0.679824	0	0.168123	0
MATK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES6	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP2A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALG9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VAX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR7E47P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.477503	0	0	0	0	0
AHCY	0.349511	0.309053	0	0.630567	0	0	0	0.580823	0.382178	0.646834	0	0.545702	0.90529	0	0	0	0	0	0.581523	0	0	0	0	0	1.34583	3.51277	0	0	0.214333	0.288002	1.068136	3.663212	0.374739
NODAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENGASE	0	0.168976	0.0768473	0	0.0912489	0.218085	0	0	0	0.0817426	0	0	0.156436	0	0	0	0	0	0	0.308045	0	0	0	0.0758189	0	0	0	0	0	0.0602188	0	0	0
LILRP2	0	0.135741	0.127052	0.208659	0	0.726151	0.113094	0	0.125599	0.159921	0	0.633494	0.111535	0	0.171734	0	0	0	0.260439	0	0	0	0.488379	0	0.132593	0	0	0.1941	0	0	0	0.187985	0.130966
NELFE	0.052613	0.428837	0.522111	0.819751	0.389879	0.469317	0.556989	0.455194	0.472755	1.11762	0	0.882604	1.05417	0.431876	0.298554	0.561095	0.374421	0.407498	0.500681	0.588393	0.537362	0.518207	0.560477	0.193414	0.384844	0.280313	0.23389	0.279257	0.186685	0.248003	0.270576	0.321082	0.33786
NEXN-AS1	0	2.2232	0.252845	2.9577	0	0	0	0	0	0.415199	0	0	0	0.216928	0	0	0	0	0	0	0	1.73472	0	0	0	0.361755	0	0	0	0	0	0	0
OPN4	38.37862791	25.78500941	26.157813	22.6022323	20.830436	38.16359	38.4453	30.04359342	21.61164941	31.2320783	26.54739055	41.75092813	62.59302072	74.75243431	42.6384	27.16714114	28.630641	10.14994822	77.793425	48.1073716	54.49748203	24.45548658	47.400272	55.05913599	39.08415275	41.74438988	39.78687795	34.334638	28.125676	32.19030753	31.5963966	49.362793	29.79560519
RPS6KB2	1.092	0.660823	0.245456	0.268993	0.54661	0.295238	1.2062	0.46587	0	1.97754	1.022	0.980782	1.31559	2.36627	1.08241	0.854617	3.58801	0.357615	1.77144	1.1988	1.13578	0.218598	0.212224	2.47159	1.78294	2.16143	1.0384	0.332509	1.54563	1.2587	0.885268	1.77551	2.49452
RAB11FIP2	0	0	0	0	0	6.5485	0	1.41347	0	0.784181	0.871368	0	0.690175	0	2.6921	0	0	0.644624	0.669112	0	1.49101	0	0	2.972107	0	0	1.422462	0	0	1.01593	1.48699	0	1.40451
LOC100128006	54.154722	26.227107	28.942154	42.64116	29.534125	60.983199	56.725863	46.317323	60.88417	38.555828	40.9361	53.553999	108.596737	56.657088	52.80637	71.71055	48.238309	20.99466201	64.979062	78.622638	62.91901	32.659119	59.975999	76.397526	33.637455	86.81882	42.38071	54.476903	47.436901	45.867982	50.416692	54.01663	56.528588
KRT16P3	0.700941	0	0	0	0.385689	6.22449	0.314822	0.328482	0	0.369599	0.815081	0	2.36672	1.29266	0	0.271052	1.05068	0	1.24795	1.05479	0	0	0	0.63716	0	1.47894	0.512239	1.95974	0	0	0	0	0
RNF32	0	0	0	0	0	13.7085	0	5.58889	5.61708	0	13.2571	0	5.43663	0	0	0	0	2.68031	0	11.5988	0	0	0	0	0	8.12257	0	0	0	0	11.1733	4.13528	0
LRFN4	5.559702	32.372418	32.186783	24.928503	27.753976	29.77667	23.736145	23.127166	24.2095928	28.23186	23.0750822	24.82635	18.353323	16.564798	14.888173	9.040898	8.015828	1.000071	3.685235174	4.6880757	5.131366	22.722776	6.1720621	2.460967	1.6391737	11.156657	5.8781105	15.96053	9.500219	8.697197	7.799551	4.991585	10.96518
LINC01120	2.51944	25.4661	18.3658	10.3056	20.8625	26.1365	7.09567	14.6567	11.8671	26.4124	31.8913	10.8587	15.8748	9.28946	13.8549	6.85638	7.5094	0.425268	1.57874	3.48564	3.49249	25.7108	1.03294	1.26552	0	3.73309	9.47654	3.43221	4.98302	3.09978	4.02642	2.53571	4.72682
ST6GAL1	2.62934	0	0	0	0	2.45263	0	0.640783	0	2.84738	0	0	1.87758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.461267	0	1.97522	1.93644	0
SNORA48	0	0.852184	3.41959	1.49373	8.36118	4.78584	3.10205	1.94318	4.04561	6.93747	1.03694	1.82986	2.52975	0.781254	1.36178	1.35227	0	0	0	0	2.72971	1.88229	0	0.620542	0	0	0.467728	1.06428	0	0.477976	0.665447	0	0
GRIN2D	4.57002	14.4345	9.21715	23.8723	17.3679	22.1812	10.1907	7.9184	14.5565	15.7055	22.4999	12.9123	12.3271	9.11647	7.59	3.55372	8.97659	0.383002	1.82123	0.795754	2.89372	12.0287	1.57793	3.2364	1.84802	5.84114	4.38455	11.6412	4.65287	6.12504	5.79076	1.44362	4.39956
ASB16	0.144644	0	0	0.0796468	0.0807951	0.26097	0	0	0	0	0	0	0	0.672062	0	0	0	0	0.131361	0.506339	0.724161	0.0616905	0	0	0	0	0.360455	0.114325	0	0.362001	0.0700979	0	0
RNASEH1	1.01509	0.247604	0.32403	0.320436	0.433252	0.504936	0.875735	0.89675937	0.447983	0.725934	0.750849	0.91848701	1.189867	1.92345	1.25277	1.06211	2.09369	0.262284	1.52748	1.12817	1.29419	0.35871	0.653843478	1.05577	2.83015	1.66021	1.05183	1.31374	0.900698	1.45804	0.532005	0.897658	0.935509
FAM184A	0.0226274	0.0371137	0	0	0.0379815	0.122094	0.0305861	0	0.0676754	0	0.0786743	0	0	0.0314889	0.0338537	0	0	0	0	0	0	0.1453	0.0294471	0	0	0.0483203	0	0	0.0235922	0	0.0328873	0	0.0354622
SNORA79	0.308507	0	0.47419	0	0	0	0	0.897608	0	0	0	0.632858	0.879457	0	1.41586	0	0	0	0	0.471719	0	0	0	0	0	0	0	0.369801	0	0.998949	0	0.341104	0.489569
GBP4	0.863927	0	0	2.91264	0	0	2.42161	3.82249	1.32897	0	0	0	0	1.21591	0	0	2.70877	0	2.39387	1.33929	1.34777	0	1.15216	1.21103	2.76934	0	0	0	0	0	0	0	0
OPN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RANBP9	0	0.814908	1.978028	0.735058	0	0.896129	0.504161	0	1.3270901	1.55339	0.649502	0	0	0	0.324759	0.292508	2.7207	0	0	0	0.857953	1.131863	0	0	0.580691	0.265295	0	0	0	0	0	0	0
ZNF746	0	0	0	0	0.310466	0	0	0	0	1.34123	0	0	0	1.60815	0	0	0	0	0	0	0	0	0.238795	0	0	1.19075	0	0	0	0	0	0	0
NAGPA	0	3.55689	4.25502	4.11397	1.95085	3.31203	2.48195	5.22547	3.21082	4.99613	4.65502	3.00051	2.33763	2.31037	11.2302	4.51022	7.33356	0.243072	0.903116	3.98952	4.74779	7.20661	3.24592	2.49907	0.779192	2.49292	0.175184	3.53287	1.55422	0.708829	1.94174	1.45009	0
INSR	50.189323	49.19543	37.821901	42.21594	38.822532	41.797657	39.364776	42.47638	43.673856	59.66714	50.32135	32.21987	41.71265	28.92111	29.05203	35.35973	30.73693	11.73389	48.064692	57.88112	88.77323	48.52554	25.43282	46.533297	21.647045	50.71587	48.52142	37.90465	41.85572	37.795722	57.119745	34.545741	45.21339
MMP21	1.872583	0.5450326	1.322086	0.5698293	1.119563	0.947089	1.519174	1.727727	1.2855212	0.115587	0.8641785	0.723999	3.644901	1.57882	2.263375001	1.159794	2.115298	0.182493	0	0.860834	0.43056	0.784687234	1.2073464	0.53874	0.3332271	0	0.855118	0.341896	1.2553032	1.494786	0.188769	0.0400764	1.198897
FEZF1-AS1	0	0	0	6.47082	2.64085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.082	0	0	0	0	0	0	0	0	1.69477	1.23141
SLC18B1	5.473702	12.367392	7.580204	10.83306	12.2313	9.4535139	7.173329	7.507033	11.19548	12.77894	10.36817	9.44759	13.26672	10.56577	8.37376	5.317537	6.707648	3.845255	7.562837	8.49072	15.106461	16.399445	11.132176	8.03692	4.156725	13.19252	7.267243	9.4394	8.043609	9.14997	8.81904	6.346968	5.92251
USHBP1	0	0	0	4.08867	0	1.51592	0	0	0	0	0	0	0	0	4.98316	1.94584	0	2.38284	0	0	0	0	1.07712	0	0	0	0	0	0	0	0	0	0
LINC00176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C19orf45	0	0	0	0.373745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ULK1	44.53699	47.00879	35.72607	45.782587	36.26845	31.263602	44.47526	35.62437	47.83784	54.962792	41.370105	36.37685	37.04166	36.13588	34.02655	20.47558	27.79569	3.402453	21.4477	22.857177	55.98755	37.070695	11.670673	20.87384	11.644733	29.53525	28.80162	28.8407	30.71648	33.92177	25.08919	30.953318	33.90147
DCTN3	80.65268947	109.6732597	106.5941309	98.03910432	105.8157421	125.1025947	111.88113	101.5327202	114.2364491	122.5490592	114.455522	119.2711149	189.2504381	112.4313309	95.42656112	82.27451457	80.341262	26.37408714	167.8651822	120.9743416	133.1117627	131.6439739	157.413841	145.18812	89.72157518	107.0696836	84.39489301	71.31620439	88.76613843	85.37324078	65.16443959	105.8416524	132.2054695
WFIKKN2	0	0	0	0	0	0	1.34235	1.41135	0	0.391154	2.16721	0.993037	0.346302	0	0.74194	1.16397	2.25765	0	7.37166	3.70562	5.94655	0.943324	3.53252	3.04123	3.4739	0	0.516746	0	1.27975	0	0	1.88102	0.767848
BACH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH2B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.65688	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KDM6A	0.593367	0.411722	0.377044	1.2422	0.200628	0.995017	0.648807	0.599765	0.967921	0.451852	0.874257	0.802228	1.48402	0.894411	1.20308	0.414835	0.597849	0.184757	2.78548	2.47541	1.09439	0.641406	1.23835	1.30149	0.0783764	0.321959	0.321166	0.416027	0.375709	0.150948	0.771014	0.328399	0.312924
ZSCAN10	5.892801	5.831907	13.42988451	9.094229025	7.6423567	12.658592	5.486157	7.271526	3.828814	7.301282	3.5032	3.231583	27.622065	5.381482	5.63833	4.380826	9.640285	3.04279201	8.58511	3.720866	7.251363	9.464115	10.176988	12.010764	19.127812	20.809456	3.141067886	10.152428	4.1267	3.883162	0.9089208	12.3045425	5.118329
KIAA1211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.81425	0	0	0	0	0	0
PDLIM4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf67-AS1	0.0127632	0	0.966501	0	0	0	0	0	0	0	0	0	0.120719	0	0	0	0	0	0	0	9.94E-05	0	0	0	0	0	0	0	0	0	0	0	0
C2orf71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNJ	0	0.0835491	0.114824	0.0614998	0.1871317	0	0.112052	0.0910791	0	0.150783	0.194671	0.074437	0.737342	0.0519017	0.725744	0.143017	0.4979666	0.00792175	0	0.0477431	0	0.2858763	6.990258	0	0	0	0.278659	0.529814	0.0133086	0.06909919	0.229709	0.0117532	0.066184
LOC100128239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.195828	0	0	0	0	0.391431	0	0	0	0	0.203895	0	0	0	0	0	0.190297	0	0
COPG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28238	0	0	0	0	0	0	0	0	0	0	0
CPNE5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD57	0	0	3.10471	0	0	0	0	0	0	0	0	0	0	0.950405	2.57626	0	0	0	0	0	0	0	6.23589	0	0	0	0.356201	1.21006	0	0	0	0	0
TBX4	31.26723602	45.437513	45.72325	26.838249	41.426159	58.116424	47.157454	28.314628	36.676044	36.149403	34.903876	40.50256	69.162245	23.775939	35.507917	25.976569	38.887693	13.733305	7.722954169	11.365223	13.739204	54.135274	14.276574	11.250341	1.203199	14.41158327	18.52903964	28.519091	16.010378	24.54729815	13.77187	16.79216023	26.0063888
NCAPG2	0.334854	0	1.05724	0.57555	0	1.90612	0.714286	1.1613	0.730551	0.801148	0	1.3021	0.963592	0.679765	0.244444	0	0.747684	0	0.922364	0.244259	0.494873	0.849111	0	0.44506	0	0.356874	0.345812	0.201425	0.340033	0	0	0.191386	0
LOC339539	0	0.354309	1.6204	0	0	0.390168	0.8765	1.22905	3.51679	1.02137	0.75408	0.432033	1.81127	0.597295	0.322935	0.760632	0	0	0	0	0	0.821734	0	0	0.336042	0.460991	1.35364	0.507191	0	0	0	0	0
CPNE9	0	1.86055	0.566186	1.8557	1.25923	2.05001	0	1.07128	2.79107	0	0	0.756478	1.0487	1.55796	1.12721	0	0	0	0	0	0	0.476543	1.46098	0	0	0	0	1.32289	1.54823	0	0	0	1.75546
RNF225	0	4.39725	20.0014	0	0	18.7682	3.60458	0	0	0	0	0	15.2148	3.65292	0	0	0	3.7898	0	0	0	3.42233	3.47185	0	0	5.73547	0	9.66009	0	0	0	0	16.4606
FAM212B	4.96731	13.9438	15.5556	5.62901	18.912	17.9181	9.2689	9.05489	10.4719	15.1613	14.6052	12.2384	7.18332	3.65191	7.59767	2.01504	5.12111	0.560206	7.87474	4.75437	7.28445	14.3063	2.5656	1.67922	11.3844	14.2857	4.84921	3.2874	3.61298	3.38846	2.59606	4.14629	10.1001
LOC283335	0	0	3.6513	0	4.11364	0	0	0	3.66682	0	0	0	3.47022	0	0	0	3.69228	0	0	0	0	0	0	6.63127	0	5.27238	0	8.81616	0	2.59112	0	0	0
PCTP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA7B	0.102619	0	0.620686	0	0.172816	0.372759	0	0	0	0	0	0.214673	0.581675	0.143535	0	0	0	0	0.280498	0	0	0	0	0	0	0	0	0	0.107404	0	0.150236	0	0
EIF3F	0	0	0	0	1.9801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9983	0	0	0	0	0	0	0	0.415804	0.57722	0	0
SEC14L2	0	0	0	0	2.96553	1.60707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.81989	0	0	0	0	0	0	0	0	0	0	0
GSTM2	13.2331	18.8902	20.1128	17.6868	17.8631	14.0021	20.1496	20.3999	13.7485	23.6419	18.7508	21.9755	24.8604	14.9896	17.18	18.0735	14.7697	11.3743	10.8279	15.5718	13.4122	19.0241	16.2767	20.9533	1.02334	6.20524	16.6807	12.5835	11.6168	13.1397	15.7691	9.21726	10.3337
CCDC7	36.96825	32.51896	23.862532	39.3615	26.44085	85.14722	72.11431	65.63855	58.51106	55.79609	67.59173	69.94654	71.49805	32.445893	34.497446	14.836438	25.111658	7.465391	18.638991	13.307482	23.981523	29.58459	25.40706	13.87318	5.29091	54.29748	25.39503	32.8332	25.57657	25.173515	29.942461	29.45224	54.14
PAX1	0.107125	1.6013	0.680755	1.63406	0.61595	2.11984	2.5267	1.42899	1.31729	2.1266	2.20142	4.00835	4.96684	1.70955	1.40677	0.836994	0.617409	0.275239	0.316957	0.760462	0.487352	0.756193	1.6649	0.0640793	0.496057	1.42654	1.23872	1.29263	0.443342	0.624109	0.0654745	0.978211	0.275396
GSTP1	8.67462	16.9747	3.86901	8.32855	8.5566	50.9102	36.4016	29.3442	42.184	32.4625	49.3777	69.5791	60.14	15.5961	22.7294	11.7857	11.6748	0.902548	5.14691	1.92912	27.0244	12.8635	4.93563	15.661	1.99149	32.921	11.5329	4.45076	2.60076	34.6321	14.8796	6.80492	9.93542
TMTC1	0.0930408	0.426826	0.544606	1.32602	0.494098	0.703047	0.455189	1.46154	2.19519	1.93405	1.11281	0.942069	0.456426	1.44603	0.897435	0.628211	0.505823	0.0663022	0.197795	0.436278	0.80501	0.904096	0.943482	0.261727	0.250016	1.12667	0.160209	0.683273	0.896073	0.825277	0.173393	1.13876	0.271281
EIF2AK1	0	0.425054	0	0	0	0	0	0.368236	0	0.816602	0	0	0	0	0	0	0	0	0	0	0	0.656108	0.335086	0	0	0	0	0	0	0	0	0	0
C9orf64	19.6925	19.5066	14.764	18.583	14.219	4.68071	3.78756	1.23792	1.97679	5.46811	8.29413	4.85713	73.5085	5.66098	8.28403	11.9612	7.78173	4.27316	23.4916	18.323	12.2435	17.1245	19.7458	6.54691	0.728418	494.963	18.0151	13.3423	14.5641	21.2894	10.7342	20.2384	17.6864
RNF217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.62735	0	0	0	0.869752	0	0	14.4266	0	0	0	0.706298	1.96875	0	0
CCDC42B	4.860537	0	0	1.2002701	0	0	0	0	0	0	0.0934765	0.467719	19.43371	0.10194	0.76084	0	4.157695	0	0.199235	0	0	0.592688	0	0	0	67.12835	3.81954	6.5120981	7.35187	6.875966	9.693969	7.289307	9.637687
RNF7	0.702827	0.577283	0.777219	0.692053	0.863598	1.08454	0.483612	0.268612	0.591224	0.480941	0.938644	0.693166	1.52738	0.534023	0.308747	0.499418	0.589687	0.125312	0.414767	0.531672	0.421696	0.598898	0.298747	0.29454	0.894991	11.7561	0.33079	0.500652	0.271823	0.476987	0.647644	0.383817	0.613547
GNAT1	0.979307	0	0	0.992418	0	0	0	0	0	0	0	2.32375886	11.02885	0	0.0566718	0	0.1034	0.511821	0	0	1.05678	0.081712	0	0	0	16.95557	0.7356291	1.587732	1.041253	0.9994628	3.6531576	0.0461017	1.157945
NDUFAB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDS5B	27.85126	20.04177151	23.15902082	12.68093129	19.9902387	20.54459311	18.04058002	22.67212501	16.34148	21.052064	11.43557301	14.75669933	18.298853	20.03089443	13.2120903	7.613098035	14.405715	3.023275017	6.727064008	11.06903822	18.89593101	19.82029729	14.21308504	6.317941201	42.16508936	23.2884	21.26633029	21.31469117	14.53727063	9.124618155	15.711671	19.27035395	36.27281047
RBM4B	0.5077	0.119875	1.196843	0.361648	0.163237	5.593091	1.065011	1.564653	1.381676	2.029376	1.247086	2.293895	1.6079091	2.588372	0.6638215	0.2069653	2.0866277	1.0629	0.100733	0.772057	1.235548	0.533657	0	1.0635078	6.371597986	3.602825	0.305573377	1.651918	0.8839189	0.1910757	0.141296	1.025995	2.414452
LOC101928398	0.733416	1.093	2.63654	2.06784	1.53765	2.42131	0.922129	1.68287	1.17352	1.46529	0.807272	1.427238	2.36511	1.55666	1.43363	1.760289	0.9128	0.343039	1.11199	0.633323	1.15782	1.94966	0.855498	0.910444	1.88919	2.31825	0.638658	0.727367	0.612019	0.812861	0.604206	0.630831	0.972184
ABCA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCF3	3.79199	6.76662	4.89086	3.55316	3.64557	6.20662	2.68776	1.73533	0.361377	1.02813	0.664595	3.369	5.04893	4.20432	2.72601	2.07758	2.60245	2.00369	3.40244	1.66148	2.39544	3.50889	2.39802	3.00306	0.149224	1.25466	1.50237	2.86537	2.27915	2.80591	2.70086	2.13814	2.11416
ARPC5L	0	0.124224	0	0	0.633416	0	0.20498	0	1.68412	0	0	0.151296	0	0.315892	0.226805	0	0	0	0	0	0.567821	0	0	0	0	0	0	0	0	0	0.440071	0	0.818524
IL21R	0	0	0	0	0	0	0	0	0	0	0	0	0	0.929355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NME7	17.81922	10.96674	13.16109	15.75853	20.05975	6.35668	11.199682	8.44	11.06949	11.6948	13.350048	13.115046	16.23904	15.04845	13.6216516	5.822489	9.8856828	2.033589	13.22884007	10.531425	4.346347	12.39088	5.70413	2.58242	7.122325	18.62703	8.1474	6.215276	5.957091003	10.1884	13.270905	13.804136	9.51507
C16orf87	0.161238	0.215954	0.119061	0.205496	0.39096	0.0780766	0.476921	0.170751	0.358528	0.348951	0.358509	0.375754	0.0601543	0.252988	0.365242	0.298886	0.12701	0.0285645	0.168369	0.242524	0.189886	0.313186	0.110091	0.111953	0.204483	0.72849	0.0459693	0.360957	0.149315	0.231034	0.301551	0.0604453	0.310878
HLA-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IMMP2L	16.379229	19.667467	22.14362	14.55778	16.271923	25.183563	20.34953	16.189698	15.531227	22.542366	18.55946	22.419177	44.63112	23.686657	12.69622	12.233923	23.386155	3.974666	18.57498	20.54428	12.279005	21.839365	23.5636	29.342014	2.236216	11.7721	11.425099	20.769318	15.670759	17.454988	18.63038	13.405307	23.36605
LOC101927267	8.26223	0	0	0	0	1.71295	0	1.35096	0	0	0	0	9.1877	2.57945	0	0	8.62337	0	0	0	0	19.1033	0	0	0	0	1.90605	0	0	0	0	2.02463	1.46899
SRMS	0.105032	0.86296	0	0.867814	0	0	0	0	0.156051	0.0830225	0	0.945827	1.18838	0.512554	0.0787985	0.558909	0.957551	0	0	0	0	0.403262	0	0.717842	0.985591	0.224933	0.16824	0.31138	0	0.394356	0.993113	0.517742	0.324855
ZNF653	51.1955	85.9151	95.4648	59.775	77.1333	66.0333	69.3692	68.8049	86.6118	92.2906	81.8843	62.4548	71.836	48.7599	75.3033	92.2321	88.1458	33.7533	56.7729	45.5823	52.8098	83.6902	44.2632	59.7407	32.4801	250.828	36.9509	37.0491	37.0461	45.9483	39.3447	30.6368	43.6611
AATBC	28.03646	41.58185	62.6657	46.97818	58.766	54.45197	35.57055	51.27603	44.27912	49.38139	40.89593	43.16889	56.6909	38.17705	43.77885	39.01234002	56.95876	28.14043	32.66344	33.71689	49.96333	62.26684	25.51297	25.64364	40.7	110.2081	33.96329	36.45404	30.50698	25.75462	35.83925	32.18793	21.11261
